Deck Code   -  Average T5 Damage
11-12-02-05 - Avg. Dmg. : 41.4112
11-11-02-06 - Avg. Dmg. : 41.3865
10-13-02-05 - Avg. Dmg. : 41.378
12-11-02-05 - Avg. Dmg. : 41.3737
12-11-01-06 - Avg. Dmg. : 41.3736
11-13-00-06 - Avg. Dmg. : 41.3666
12-10-03-05 - Avg. Dmg. : 41.358
12-12-01-05 - Avg. Dmg. : 41.3568
11-12-01-06 - Avg. Dmg. : 41.353
11-14-00-05 - Avg. Dmg. : 41.3435
12-11-03-04 - Avg. Dmg. : 41.332
11-13-01-05 - Avg. Dmg. : 41.3316
12-13-00-05 - Avg. Dmg. : 41.3313
11-11-03-05 - Avg. Dmg. : 41.3284
12-13-01-04 - Avg. Dmg. : 41.3238
11-12-00-07 - Avg. Dmg. : 41.3159
12-12-00-06 - Avg. Dmg. : 41.3128
12-10-02-06 - Avg. Dmg. : 41.3116
12-12-02-04 - Avg. Dmg. : 41.308
11-13-02-04 - Avg. Dmg. : 41.3007
10-13-01-06 - Avg. Dmg. : 41.2957
11-12-03-04 - Avg. Dmg. : 41.2952
10-12-02-06 - Avg. Dmg. : 41.2943
10-12-03-05 - Avg. Dmg. : 41.2923
11-10-03-06 - Avg. Dmg. : 41.2892
10-12-01-07 - Avg. Dmg. : 41.2891
10-13-00-07 - Avg. Dmg. : 41.2872
10-14-00-06 - Avg. Dmg. : 41.2866
11-14-01-04 - Avg. Dmg. : 41.2753
13-11-01-05 - Avg. Dmg. : 41.2729
10-14-01-05 - Avg. Dmg. : 41.2627
13-10-02-05 - Avg. Dmg. : 41.2586
10-12-04-04 - Avg. Dmg. : 41.2582
11-11-04-04 - Avg. Dmg. : 41.2535
13-09-03-05 - Avg. Dmg. : 41.25
11-11-01-07 - Avg. Dmg. : 41.245
13-10-03-04 - Avg. Dmg. : 41.2414
12-10-01-07 - Avg. Dmg. : 41.238
11-10-04-05 - Avg. Dmg. : 41.2367
13-11-02-04 - Avg. Dmg. : 41.236
12-10-04-04 - Avg. Dmg. : 41.2293
10-11-03-06 - Avg. Dmg. : 41.2253
11-10-02-07 - Avg. Dmg. : 41.2207
13-12-00-05 - Avg. Dmg. : 41.2202
13-10-01-06 - Avg. Dmg. : 41.2138
10-15-00-05 - Avg. Dmg. : 41.213
13-11-00-06 - Avg. Dmg. : 41.2115
10-14-02-04 - Avg. Dmg. : 41.2057
12-11-00-07 - Avg. Dmg. : 41.2052
10-13-03-04 - Avg. Dmg. : 41.204
10-11-04-05 - Avg. Dmg. : 41.2008
12-09-04-05 - Avg. Dmg. : 41.1958
11-12-04-03 - Avg. Dmg. : 41.1955
12-12-03-03 - Avg. Dmg. : 41.1857
12-09-03-06 - Avg. Dmg. : 41.1846
12-11-04-03 - Avg. Dmg. : 41.1787
11-13-03-03 - Avg. Dmg. : 41.1747
11-11-00-08 - Avg. Dmg. : 41.1678
10-10-03-07 - Avg. Dmg. : 41.1675
13-09-02-06 - Avg. Dmg. : 41.1641
